Feature,Average
TUE_round+Public_Transportation,0.090949129
CH2O_ceil_round+CAEC_map,0.09027504
CH2O_round+Gender_map,0.088825242
TUE_ceil_round+CH2O_floor_round,0.087552538
CH2O_floor_round+CALC_map,0.086316587
CH2O_floor_round+NCP_ceil_round,0.081910811
CH2O_ceil_round+TUE_round,0.081846093
FAF_ceil_round+TUE_round,0.081039228
FAF_ceil_round,0.079796289
CH2O_round+Automobile,0.077529246
FAF_ceil_round+CALC_map,0.075328152
Std_MTRANS_SMOKE,0.074746451
FAVC_div_sum_of_SMOKE_and_SCC,0.073576177
FAVC_x_SCC,0.071228776
FAVC_minus_SCC,0.0709956
CH2O_floor_round+CAEC_map,0.070845815
CH2O_round+CAEC_map,0.07081638
TUE_floor_round+CH2O_ceil_round,0.068931312
FAF_floor_round+CH2O_ceil_round,0.068385611
CH2O_floor_round+Public_Transportation,0.066849132
TUE_round+CALC_map,0.06672305
CH2O_floor_round+Automobile,0.065386133
TUE_floor_round+CH2O_round,0.057496654
Automobile,0.056629361
CH2O_floor_round+TUE_round,0.055493757
TUE_round+Automobile,0.0533673
Walking+FAVC_map,0.053018492
TUE_round,0.049008067
FAVC_map,0.044082651
FAF_ceil_round+CH2O_round,0.043454331
CH2O_floor_round,0.041408936
Walking+SCC_map,0.038121619
SMOKE_x_SCC,0.031911113
SMOKE_minus_SCC,0.029551421
SCC_map,0.028699876
Walking+SMOKE_map,0.010118153
Walking,0.009133987
SMOKE_map,0.003703309
Height_2dec_gt_Gender,0.003667827
Weight_2dec_gt_Height_2dec,0.002963146
Height_2dec_gt_FAVC,0.002850709
Motorbike,0.002450296
Bike+Motorbike,0.001898422
Weight_2dec_gt_FAVC,0.001735144
Weight_2dec_gt_CALC,0.001219817
Weight_2dec_gt_CAEC,0.001013842
Weight_2dec_gt_SMOKE,0.001008604
random_control_feature,0.000875201
Weight_2dec_gt_MTRANS,0.000755172
Height_2dec_gt_CALC,0.000324043
Weight_2dec_gt_family_history_with_overweight,0.000301344
Weight_2dec_gt_SCC,0.000295973
Bike,0.000241285
gender_height,0.000169191
Height_2dec_gt_SMOKE,0
Weight_2dec_gt_Gender,0
